o : 0, h : 0, w : 5, ich : 0, kh : 1, kw : 2, ph : 0, pw : 6, pix_idx : 6, weight_idx : 5
o : 0, h : 0, w : 5, ich : 0, kh : 2, kw : 0, ph : 1, pw : 4, pix_idx : 32, weight_idx : 6
o : 0, h : 0, w : 5, ich : 0, kh : 2, kw : 1, ph : 1, pw : 5, pix_idx : 33, weight_idx : 7
o : 0, h : 0, w : 5, ich : 0, kh : 2, kw : 2, ph : 1, pw : 6, pix_idx : 34, weight_idx : 8
wが5の時
o : 0, h : 0, w : 6, ich : 0, kh : 0, kw : 0, ph : -1, pw : 5, pix_idx : -23, weight_idx : 0
o : 0, h : 0, w : 6, ich : 0, kh : 0, kw : 1, ph : -1, pw : 6, pix_idx : -22, weight_idx : 1
o : 0, h : 0, w : 6, ich : 0, kh : 0, kw : 2, ph : -1, pw : 7, pix_idx : -21, weight_idx : 2
o : 0, h : 0, w : 6, ich : 0, kh : 1, kw : 0, ph : 0, pw : 5, pix_idx : 5, weight_idx : 3
o : 0, h : 0, w : 6, ich : 0, kh : 1, kw : 1, ph : 0, pw : 6, pix_idx : 6, weight_idx : 4
o : 0, h : 0, w : 6, ich : 0, kh : 1, kw : 2, ph : 0, pw : 7, pix_idx : 7, weight_idx : 5
o : 0, h : 0, w : 6, ich : 0, kh : 2, kw : 0, ph : 1, pw : 5, pix_idx : 33, weight_idx : 6
o : 0, h : 0, w : 6, ich : 0, kh : 2, kw : 1, ph : 1, pw : 6, pix_idx : 34, weight_idx : 7
o : 0, h : 0, w : 6, ich : 0, kh : 2, kw : 2, ph : 1, pw : 7, pix_idx : 35, weight_idx : 8
wが6の時
o : 0, h : 0, w : 7, ich : 0, kh : 0, kw : 0, ph : -1, pw : 6, pix_idx : -22, weight_idx : 0
o : 0, h : 0, w : 7, ich : 0, kh : 0, kw : 1, ph : -1, pw : 7, pix_idx : -21, weight_idx : 1
o : 0, h : 0, w : 7, ich : 0, kh : 0, kw : 2, ph : -1, pw : 8, pix_idx : -20, weight_idx : 2
o : 0, h : 0, w : 7, ich : 0, kh : 1, kw : 0, ph : 0, pw : 6, pix_idx : 6, weight_idx : 3
o : 0, h : 0, w : 7, ich : 0, kh : 1, kw : 1, ph : 0, pw : 7, pix_idx : 7, weight_idx : 4
